session,param,ratio,param_value,fixed_point_success,fixed_point_residual_rms,max_real_lambda,leading_lambda_imag,stability_margin,motor_loading_fraction,motor_loading_enrichment,motor_E_loading_fraction,motor_I_loading_fraction,contra_motor_loading_density,ipsi_motor_loading_density,bilateral_motor_loading_density,local_motor_block_max_real_lambda
baseline,G,0.25,0.07460730787148202,True,2.3089763512425555e-15,-12.390356746721917,0.0,12.390356746721917,0.1489076731005222,1.0636262364323013,0.14890763215898337,0.14890875495308384,0.010856295760404502,0.010636262364312381,0.01074627906235844,-12.486127142951009
baseline,G,0.3149802624737183,0.09399931766326766,True,7.51359896996791e-14,-12.353976781745365,0.0,12.353976781745365,0.1489211950432035,1.0637228217371677,0.14892114318394048,0.14892256557928815,0.010858179880091277,0.010637228217361041,0.010747704048726159,-12.47507514926406
baseline,G,0.39685026299204984,0.11843171899970588,True,1.9227503210864306e-13,-12.30780830644552,0.0,12.30780830644552,0.14893846073247194,1.0638461480890853,0.1489383949481418,0.14894019958188964,0.01086057701322558,0.010638461480880209,0.010749519247052895,-12.46108146394801
baseline,G,0.5,0.14921461574296405,True,4.936214131045946e-13,-12.249102061995707,0.0,12.249102061995707,0.14896058587709618,1.0640041848364012,0.14896050227125884,0.14896279627551542,0.010863634955685791,0.010640041848353373,0.010751838402019582,-12.443339516909468
baseline,G,0.6299605249474366,0.18799863532653532,True,1.2718814153347714e-12,-12.174263475294909,0.0,12.174263475294909,0.14898906861937827,1.064207632995559,0.14898896210376417,0.14899188548119616,0.010867549236819247,0.010642076329944948,0.010754812783382098,-12.420806976136621
baseline,G,0.7937005259840998,0.2368634379994118,True,2.118835082780913e-15,-12.078544800192084,0.0,12.078544800192084,0.1490259529026692,1.0644710921619227,0.14902581676390672,0.1490295543919003,0.010872581923386512,0.010644710921608585,0.010758646422497548,-12.392127556254328
baseline,G,1.0,0.2984292314859281,True,1.9178841661442273e-15,-11.955592287246251,0.0,11.955592287246251,0.14907408328520474,1.0648148806086053,0.14907390854464134,0.1490787079361058,0.010879090156106669,0.010648148806075406,0.010763619481091037,-12.355520831470534
baseline,G,1.2599210498948732,0.37599727065307065,True,2.36991417572858e-15,-11.796756075859097,0.0,11.796756075859097,0.14913751836528574,1.0652679883234695,0.1491372927946035,0.14914349144022848,0.010887571184188347,0.010652679883224044,0.010770125533706196,-12.308622859167713
baseline,G,1.5874010519681994,0.4737268759988235,True,2.3738474276205074e-15,-11.58999152094833,0.0,11.58999152094833,0.14922223390460665,1.0658730993186187,0.14922194043415601,0.14923001004759381,0.010898736896723668,0.010658730993175531,0.0107787339449496,-12.248248216417764
baseline,G,1.9999999999999998,0.5968584629718561,True,2.0150681704373746e-15,-11.318012004973188,0.0,11.318012004973188,0.14933738965664167,1.0666956404045833,0.1493370036317103,0.14934762643408725,0.010913644654117574,0.010666956404035161,0.010790300529076367,-12.170020683646683
baseline,G,2.5198420997897464,0.7519945413061413,True,2.3720310173329147e-15,-10.954959213277636,0.0,10.954959213277636,0.14949778431055155,1.0678413165039395,0.14949726835188232,0.14951147986725938,0.0109339448170076,0.010678413165028714,0.010806178991018156,-12.067772421670764
baseline,G,3.1748021039363983,0.9474537519976469,True,2.408014939846231e-15,-10.459821971021231,0.0,10.459821971021231,0.14972909102638343,1.06949350733131,0.14972838427103094,0.14974787169850703,0.01096239782362335,0.010694935073302405,0.010828666448462879,-11.932509228732192
baseline,G,4.0,1.1937169259437124,True,2.177922380851095e-15,-9.761646674035743,0.0,9.761646674035743,0.1500806097664985,1.0720043554749892,0.1500796015377352,0.15010743141585398,0.011004114517435585,0.010720043554739172,0.010862079036087378,-11.750507103886854
baseline,w_EE,0.25,0.13477653370563097,True,1.2550617963057306e-14,-12.214337611635685,0.0,12.214337611635685,0.14896757912499606,1.0640541366071146,0.14896741356918744,0.14897195659234802,0.010866386462095767,0.010640541366060506,0.010753463914078137,-12.60430765801591
baseline,w_EE,0.3149802624737183,0.16980779184759034,True,8.403790116346291e-15,-12.192374334036277,0.0,12.192374334036277,0.14897653453899617,1.0641181038499725,0.1489763682209852,0.1489809325189008,0.010867450475975133,0.010641181038489088,0.01075431575723211,-12.583179537686718
baseline,w_EE,0.39685026299204984,0.21394441138494608,True,2.0667758731103436e-14,-12.164582820932768,0.0,12.164582820932768,0.14898788885349765,1.0641992060964116,0.14898772156642792,0.14899231291300552,0.010868800602441291,0.010641992060953478,0.010755396331697385,-12.55644748150657
