metric,hemi,n,effect,p_raw,lo,hi,panel,region,p_fdr
dis_cri,contra,9.0,-0.3639976182263814,0.33554036677555427,-0.8279721418607963,0.39581803768148155,B,Ipsilateral,0.47117829097845076
dis_cri,ipsi,9.0,-0.2341288003875978,0.54429060348816,-0.7773820769763277,0.5091735029814358,B,Contralateral,0.576307697810993
dis_cri,bilateral,9.0,-0.30386420379920254,0.42664657714409776,-0.8054500349425079,0.4513506884723174,B,Bilateral mean,0.5182641701106683
fEI,contra,9.0,0.30059590944375214,0.43188680842555693,-0.4542101393514053,0.8041829767779733,B,Ipsilateral,0.5182641701106683
fEI,ipsi,9.0,0.16726449464870907,0.6670962675998504,-0.5589574151861063,0.7482723230227103,B,Contralateral,0.6670962675998504
fEI,bilateral,9.0,0.23428631031220457,0.5440119360546749,-0.5090500468489692,0.7774480085293812,B,Bilateral mean,0.576307697810993
SE,contra,9.0,0.5829181805816918,0.09948506997306328,-0.13251129466151093,0.8990109381869283,B,Ipsilateral,0.42754773254083756
SE,ipsi,9.0,0.4398532027016726,0.23612431995766064,-0.316828587399816,0.8543969650544384,B,Contralateral,0.42754773254083756
SE,bilateral,9.0,0.5398360298554261,0.13355870959121663,-0.1937615216498775,0.8862326921899027,B,Bilateral mean,0.42754773254083756
DFA,contra,9.0,-0.45068767431859,0.22342119726740756,-0.858003989016798,0.30461948542487566,B,Ipsilateral,0.42754773254083756
DFA,ipsi,9.0,-0.36067914083741476,0.34029543237332555,-0.8267670882887703,0.3990346788175472,B,Contralateral,0.47117829097845076
DFA,bilateral,9.0,-0.42816536037339226,0.25025499792174827,-0.850460519554852,0.3297240485038615,B,Bilateral mean,0.42754773254083756
MSE,contra,9.0,0.5748750530697877,0.1053913716430438,-0.14437670421921367,0.8966655071130044,B,Ipsilateral,0.42754773254083756
MSE,ipsi,9.0,0.41929007789125117,0.2612791698860674,-0.339331008996963,0.8474394089231688,B,Contralateral,0.42754773254083756
MSE,bilateral,9.0,0.5147549936075712,0.15618794235141098,-0.22696673174641485,0.8785426448888526,B,Bilateral mean,0.42754773254083756
Composite,contra,9.0,0.5597512667660665,0.11706019947010647,-0.16614127369859047,0.8922058416078469,B,Ipsilateral,0.42754773254083756
Composite,ipsi,9.0,0.4338299647446494,0.24335131246029357,-0.32350928170907833,0.8523742734131585,B,Contralateral,0.42754773254083756
Composite,bilateral,9.0,0.520108060009281,0.15118410486985356,-0.22002156823383348,0.8801999212805269,B,Bilateral mean,0.42754773254083756
dis_cri,contra,,0.058,0.345,,,C,Ipsilateral,0.345
fEI,contra,,-0.065,0.291,,,C,Ipsilateral,0.3081176470588235
SE,contra,,0.171,0.048,,,C,Ipsilateral,0.0864
DFA,contra,,-0.175,0.012,,,C,Ipsilateral,0.036000000000000004
MSE,contra,,0.104,0.048,,,C,Ipsilateral,0.0864
Composite,contra,,0.16,0.021,,,C,Ipsilateral,0.04725000000000001
dis_cri,ipsi,,0.107,0.091,,,C,Contralateral,0.11957142857142856
fEI,ipsi,,-0.108,0.093,,,C,Contralateral,0.11957142857142856
SE,ipsi,,0.246,0.009,,,C,Contralateral,0.0324
DFA,ipsi,,-0.21,0.000803,,,C,Contralateral,0.014454000000000002
MSE,ipsi,,0.092,0.078,,,C,Contralateral,0.117
Composite,ipsi,,0.192,0.004,,,C,Contralateral,0.024
dis_cri,bilateral,,0.086,0.17,,,C,Bilateral mean,0.19125000000000003
fEI,bilateral,,-0.089,0.155,,,C,Bilateral mean,0.186
SE,bilateral,,0.219,0.015,,,C,Bilateral mean,0.03857142857142857
DFA,bilateral,,-0.197,0.003,,,C,Bilateral mean,0.024
MSE,bilateral,,0.099,0.057,,,C,Bilateral mean,0.09327272727272727
Composite,bilateral,,0.179,0.008,,,C,Bilateral mean,0.0324
